trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2615,False,"{'a': 0.005325562262227415, 'e': 0.005325562262227415}",20,8,24.711300122344788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2616,False,"{'a': 0.00531491113770296, 'e': 0.00531491113770296}",25,16,14.888499814058253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2617,False,"{'a': 0.005304281315427555, 'e': 0.005304281315427555}",30,19,20.852909021173232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2618,False,"{'a': 0.005293672752796699, 'e': 0.005293672752796699}",30,16,28.74367074763358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2619,False,"{'a': 0.005283085407291106, 'e': 0.005283085407291106}",25,14,19.484733765483025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2620,False,"{'a': 0.005272519236476524, 'e': 0.005272519236476524}",20,8,21.747075099333948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2621,False,"{'a': 0.005261974198003571, 'e': 0.005261974198003571}",20,8,23.984675722880272,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2622,False,"{'a': 0.005251450249607563, 'e': 0.005251450249607563}",20,15,8.825810250437101,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2623,False,"{'a': 0.005240947349108348, 'e': 0.005240947349108348}",20,12,17.25721082842442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2624,False,"{'a': 0.005230465454410132, 'e': 0.005230465454410132}",20,13,12.600150295594444,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2625,False,"{'a': 0.005220004523501311, 'e': 0.005220004523501311}",25,13,21.64291933252869,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2626,False,"{'a': 0.005209564514454309, 'e': 0.005209564514454309}",20,9,25.48057787608726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2627,False,"{'a': 0.0051991453854254, 'e': 0.0051991453854254}",25,17,-5.904711916847571,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
2628,False,"{'a': 0.0051887470946545495, 'e': 0.0051887470946545495}",20,0,34.86355342735394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2629,False,"{'a': 0.00517836960046524, 'e': 0.00517836960046524}",25,11,29.1837369154153,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2630,False,"{'a': 0.0051680128612643095, 'e': 0.0051680128612643095}",30,4,41.35604890319716,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
2631,False,"{'a': 0.0051576768355417815, 'e': 0.0051576768355417815}",25,8,28.89410316184496,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2632,False,"{'a': 0.0051473614818706975, 'e': 0.0051473614818706975}",20,13,11.656979147159378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2633,False,"{'a': 0.005137066758906956, 'e': 0.005137066758906956}",30,9,38.84340333161676,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
